# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:37:58; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
timestamp,dut_count,base_count,dut_min,dut_max,dut_avg,jitter,base_min,base_max,base_avg,base_std,base_total_hist,corrected_avg,corrected_min,corrected_max
131.793,833113548,318985530,2919,202030,9.467103492596186,199111,639,675,650.0185665245687,0.6090921136947677,323126710,1086.3779454015662,2268.9814334754315,201379.98143347542
136.756,861820083,329928762,2919,202030,5.185482650211111,199111,639,675,650.0185598650148,0.6089827592732341,334756745,1089.8231961329434,2268.981440134985,201379.981440135
141.721,892231752,341576258,2919,202030,6.399462080564915,199111,639,675,650.0185572826556,0.6089402360388368,346285613,1089.8231987153026,2268.981442717344,201379.98144271734
146.678,922634563,353218540,2919,202030,6.488867293821508,199111,639,675,650.0185593888018,0.6089745814067644,357372760,1089.8231966091564,2268.981440611198,201379.98144061118
151.763,953739004,365130940,2919,202030,3.9928117441236575,199111,639,675,650.0185658722996,0.6090806623994178,369291563,1086.4841131340327,2268.9814341277006,201379.9814341277
156.487,982696997,376226888,2919,202030,4.36235280364859,199111,639,681,650.0185658591732,0.6090820142631582,380600754,1086.484113147159,2268.981434140827,201379.98143414082
161.301,1012199356,387525980,2919,202030,3.5610054339927877,199111,639,681,650.0185632799158,0.6090395375259959,392382167,1087.932564539633,2268.9814367200843,201379.9814367201
166.311,1042857645,399268610,2919,202030,4.206398292261644,199111,639,681,650.0185569287523,0.6089368716964605,404111052,1094.5066346198894,2268.9814430712477,201379.98144307124
171.289,1073319143,410923020,2919,202030,6.463175490013598,199111,639,681,650.018552326753,0.6088612087171725,415573750,1081.753599571981,2268.981447673247,201379.98144767326
176.193,1103384741,422441558,2919,202030,2.5051975981603682,199111,639,681,650.0185565793203,0.6089322553055907,426599098,1084.3888828670465,2268.9814434206796,201379.9814434207
180.903,1132230758,433483158,2919,202030,6.792262080553724,199111,639,681,650.0185602163259,0.6089916368855947,437600503,1079.9383532188485,2268.981439783674,201379.98143978367
185.597,1160954633,444483028,2919,202030,3.8658533860211572,199111,639,681,650.0185509953523,0.6088402672828758,448453565,1056.6789000574736,2268.981449004648,201379.98144900464
190.224,1189270394,455326830,2919,202030,4.931334574196085,199111,639,681,650.018550628188,0.6088354728748502,459201700,1059.7350805540145,2268.9814493718122,201379.98144937181
195.438,1221202618,467555790,2919,202030,3.432799035319461,199111,639,681,650.0185453838833,0.6087492315681693,471359345,1058.738172638331,2268.981454616117,201379.98145461612
199.893,1248480694,477999770,2919,202030,2.154480174925316,199111,639,681,650.0185400414274,0.6086614157542924,481777780,1050.7682530741326,2268.9814599585725,201379.98145995857
204.366,1275933732,488516194,2919,202030,1.3833007473149868,199111,639,681,650.0185359113304,0.6085934760139035,492418195,1049.1847893397953,2268.98146408867,201379.98146408866
208.922,1303774158,499175137,2919,202030,6.433777706460723,199111,639,681,650.0185367443006,0.6086069406107277,503007424,1050.0766025049643,2268.9814632556995,201379.9814632557
213.441,1331504606,509794223,2919,202030,2.49107939698708,199111,639,681,650.0185393947737,0.608650215600329,513825835,1056.1871826760712,2268.9814606052264,201379.98146060522
218.097,1360012759,520715936,2919,202030,2.319918533205467,199111,639,681,650.0185361332334,0.6085965394466231,524767484,1062.0501970204054,2268.9814638667667,201379.98146386677
222.666,1388025012,531434533,2919,202030,1.6459192739676654,199111,639,681,650.0185324538777,0.6085360201228542,535266407,1062.050200699761,2268.981467546122,201379.9814675461
227.183,1415623595,542004128,2919,202030,2.9178601653640848,199111,639,681,650.0185334389421,0.6085520083858342,545999047,1062.0501997146966,2268.981466561058,201379.98146656106
231.759,1443721095,552765998,2919,202030,2.005274305422544,199111,639,681,650.0185356331755,0.6085878348821392,556717966,1062.4566285358765,2268.9814643668246,201379.98146436684
236.337,1471683402,563477426,2919,202030,1.3233919675612404,199111,639,681,650.0185404491136,0.6086666592249271,567488950,1064.4588768018239,2268.9814595508865,201379.98145955088
240.929,1499810115,574248196,2919,202030,1.939894429235797,199111,639,681,650.0185441880923,0.6087278218201081,578146638,1084.0818742219494,2268.981455811908,201379.9814558119
245.497,1527810648,584971564,2909,202030,2.7336891338382663,199121,639,681,650.0185392107815,0.6086460566162961,588919352,1097.1371749640964,2258.9814607892185,201379.98146078922
250.124,1556090633,595801444,2909,202030,4.336648396237727,199121,639,681,650.0185385363739,0.6086348549458329,599796002,1081.8999086499036,2258.981461463626,201379.9814614636
254.727,1584271984,606593957,2909,202030,3.633345324624512,199121,639,681,650.0185383271538,0.608631289889174,610452060,1084.246081555887,2258.9814616728463,201379.98146167284
259.992,1616525050,618944447,2909,202030,2.270377772989042,199121,639,681,650.0185335591946,0.6085529411862415,622834496,1081.8176448943989,2258.9814664408054,201379.9814664408
